date,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,close_diff_1,adAverage_diff_1,adAverage_pct_1,adclose_pct_1,adclose_diff_1,close_pct_1,close_diff_1_shift_back_1,adAverage_diff_1_shift_back_1,adclose_diff_1_shift_back_1,adclose_pct_1_shift_back_1,adAverage_pct_1_shift_back_1,close_pct_1_shift_back_1,SMA_10,SMA_20,RSI,Stoch,adClose_Lag1,adClose_Lag2,VWAP,ADL,Upper_Band,Middle_Band,Lower_Band,MACD,%K,%D,MoM
2019-07-19,8.1,9.3,6.9,8.1,8.1,8.1,8.1,8.1,6.908,6.908,6.908,6.908,6.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0853,0.08399999999999963,0.012159814707585426,1.2346,0.012345679012345734,7.419499999999999,8.35725,10.483102706667854,-66.22222222222202,6.908,6.908,0.0,-9679.153021978043,10.367415353894884,8.357249999999995,6.347084646105105,-0.5346873602039794,-42.57142857142849,-42.57142857142847,-2.3869999999999996
2019-07-22,8.1,9.3,6.9,9.3,9.3,8.2,8.2,9.117,7.931,7.931,6.992,6.992,7.775,1200.0,10940000.0,0.1,0.0853,1.2346,0.012159814707585426,0.08399999999999963,0.012345679012345734,0.0,0.0,0.7690000000000001,0.10998283752860405,0.0,0.10975609756097571,7.3256,8.242099999999999,15.00553889086298,-63.88888888888871,6.908,6.908,4.661333333333333,-13514.789385614402,10.287737592536711,8.242099999999995,6.19646240746328,-0.5437858017836534,-41.5714285714285,-42.238095238095134,-0.9390000000000001
2019-07-23,9.1,10.4,7.8,9.1,9.1,9.1,9.1,9.1,7.761,7.761,7.761,7.761,7.761,0.0,0.0,0.0,0.0,0.0,0.10998283752860405,0.7690000000000001,0.10975609756097571,0.0,0.0,0.0,0.0,0.0,0.0,7.3086,8.1654,43.264406977820315,-40.19444444444429,6.992,6.908,0.0,-13514.789385614402,10.16181512717156,8.165399999999995,6.16898487282843,-0.48337249188985343,-31.4166666666666,-38.51984126984117,-0.16999999999999993
2019-07-24,9.1,10.4,7.8,9.1,9.1,9.1,9.1,9.1,7.761,7.761,7.761,7.761,7.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.291600000000001,8.0887,43.264406977820315,-49.61111111111094,7.761,6.992,0.0,-13514.789385614402,10.02251758188288,8.088699999999996,6.154882418117111,-0.4305316081623465,-21.261904761904702,-31.416666666666572,-0.16999999999999993
2019-07-25,9.1,10.4,7.8,9.1,9.1,9.1,9.1,9.1,7.761,7.761,7.761,7.761,7.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.274600000000001,8.012,43.26440697782032,-28.24999999999984,7.761,7.761,0.0,-13514.789385614402,9.868492499311335,8.011999999999997,6.155507500688659,-0.38422571227142477,-17.488095238095166,-23.388888888888797,-0.16999999999999993
2019-07-26,9.1,10.4,7.8,9.1,9.1,9.1,9.1,9.1,7.761,7.761,7.761,7.761,7.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.257599999999999,7.935300000000001,43.26440697782032,-32.136363636363455,7.761,7.761,0.0,-13514.789385614402,9.697802550352565,7.935299999999996,6.172797449647428,-0.3435675236130509,-22.869047619047535,-20.539682539682442,-0.16999999999999993
2019-07-29,9.1,10.4,7.8,9.1,9.1,9.1,9.1,9.1,7.761,7.761,7.761,7.761,7.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3429,7.8586,43.26440697782032,-22.71969696969681,7.761,7.761,0.0,-13514.789385614402,9.50760059429923,7.858599999999997,6.209599405700764,-0.3077975179848318,-28.249999999999904,-22.869047619047507,0.8529999999999998
2019-07-30,9.1,10.4,7.8,9.1,9.1,9.1,9.1,9.1,7.761,7.761,7.761,7.761,7.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4281999999999995,7.7819,43.26440697782032,-13.303030303030162,7.761,7.761,0.0,-13514.789385614402,9.2934976845706,7.781899999999998,6.2703023154293955,-0.27626492077771037,-28.249999999999904,-26.456349206349085,0.8529999999999998
2019-07-31,9.1,10.4,7.8,9.1,9.1,9.1,9.1,9.1,7.761,7.761,7.761,7.761,7.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.513499999999999,7.7052,43.26440697782032,9.710750722054702e-14,7.761,7.761,0.0,-13514.789385614402,9.048177676657058,7.705199999999998,6.362222323342937,-0.2484115762903336,-28.249999999999904,-28.249999999999872,0.8529999999999998
2019-08-01,9.1,10.4,7.8,9.1,9.1,9.1,9.1,9.1,7.761,7.761,7.761,7.761,7.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5988000000000016,7.6285,43.264406977820315,9.710750722054702e-14,7.761,7.761,0.0,-13514.789385614402,8.757741958129065,7.628499999999998,6.499258041870931,-0.22375825424135964,-28.249999999999904,-28.249999999999872,0.8529999999999998
2019-08-02,9.1,10.4,7.8,9.1,9.1,9.1,9.1,9.1,7.761,7.761,7.761,7.761,7.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.684100000000001,7.5518,43.26440697782032,9.710750722054702e-14,7.761,7.761,0.0,-13514.789385614402,8.388294255807622,7.551799999999998,6.715305744192373,-0.20189302181847246,-28.249999999999904,-28.249999999999872,0.8529999999999998
2019-08-05,9.1,10.4,7.8,9.1,9.1,9.1,9.1,9.1,7.761,7.761,7.761,7.761,7.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.761,7.5433,43.26440697782032,9.710750722054702e-14,7.761,7.761,,-13514.789385614402,8.367574250476853,7.543299999999998,6.719025749523143,-0.18246136653765266,-28.249999999999904,-28.249999999999872,0.7690000000000001
